Name,Number,PPG,YearBorn,TotalPoints
Kareem,33,24.6,1947,38387
Karl,32,25.0,1963,36928
LeBron,23,27.0,1984,36381
Kobe,24,25.0,1978,33643
Michael,23,30.1,1963,32292
